"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
2,1,NA,6,NA,1
3,2,NA,8,NA,2
4,3,NA,11,NA,3
5,4,NA,21,NA,4
7,5,NA,39,NA,5
11,6,NA,52,NA,6
15,7,NA,56,NA,7
16,8,NA,64,NA,8
19,9,NA,78,NA,9
20,10,NA,88,NA,10
22,11,NA,94,NA,11
24,12,NA,NA,NA,12
25,13,NA,NA,NA,13
26,14,NA,NA,NA,14
30,15,NA,NA,NA,15
31,16,NA,NA,NA,16
32,17,NA,NA,NA,17
36,18,NA,NA,NA,18
39,19,NA,NA,NA,19
40,20,NA,NA,NA,20
44,21,NA,NA,NA,21
48,22,NA,NA,NA,22
49,23,NA,NA,NA,23
56,24,NA,NA,NA,24
58,25,NA,NA,NA,25
59,26,NA,NA,NA,26
64,27,NA,NA,NA,27
72,28,NA,NA,NA,28
73,29,NA,NA,NA,29
75,30,NA,NA,NA,30
76,31,NA,NA,NA,31
77,32,NA,NA,NA,32
82,33,NA,NA,NA,33
84,34,NA,NA,NA,34
85,35,NA,NA,NA,35
86,36,NA,NA,NA,36
90,37,NA,NA,NA,37
91,38,NA,NA,NA,38
92,39,NA,NA,NA,39
96,40,NA,NA,NA,40
NA,41,NA,NA,NA,41
NA,42,NA,NA,NA,42
NA,43,NA,NA,NA,43
NA,44,NA,NA,NA,44
NA,45,NA,NA,NA,45
NA,46,NA,NA,NA,46
NA,47,NA,NA,NA,47
NA,48,NA,NA,NA,48
NA,49,NA,NA,NA,49
NA,50,NA,NA,NA,50
NA,51,NA,NA,NA,51
NA,52,NA,NA,NA,52
NA,53,NA,NA,NA,53
NA,54,NA,NA,NA,54
NA,55,NA,NA,NA,55
NA,56,NA,NA,NA,56
NA,57,NA,NA,NA,57
NA,58,NA,NA,NA,58
NA,59,NA,NA,NA,59
NA,60,NA,NA,NA,60
NA,61,NA,NA,NA,61
NA,62,NA,NA,NA,62
NA,63,NA,NA,NA,63
NA,64,NA,NA,NA,64
NA,65,NA,NA,NA,65
NA,66,NA,NA,NA,66
NA,67,NA,NA,NA,67
NA,68,NA,NA,NA,68
NA,69,NA,NA,NA,69
NA,70,NA,NA,NA,70
NA,71,NA,NA,NA,71
NA,72,NA,NA,NA,72
NA,73,NA,NA,NA,73
NA,74,NA,NA,NA,74
NA,75,NA,NA,NA,75
NA,76,NA,NA,NA,76
NA,77,NA,NA,NA,77
NA,78,NA,NA,NA,78
NA,79,NA,NA,NA,79
NA,80,NA,NA,NA,80
NA,81,NA,NA,NA,81
NA,82,NA,NA,NA,82
NA,83,NA,NA,NA,83
NA,84,NA,NA,NA,84
NA,85,NA,NA,NA,85
NA,86,NA,NA,NA,86
NA,87,NA,NA,NA,87
NA,88,NA,NA,NA,88
NA,89,NA,NA,NA,89
NA,90,NA,NA,NA,90
NA,91,NA,NA,NA,91
NA,92,NA,NA,NA,92
NA,93,NA,NA,NA,93
NA,94,NA,NA,NA,94
NA,95,NA,NA,NA,95
NA,96,NA,NA,NA,96
