"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
1,1,NA,8,3,1
7,2,NA,28,9,2
10,4,NA,31,12,4
11,5,NA,48,22,5
13,6,NA,50,26,6
21,7,NA,54,52,7
23,8,NA,62,58,8
24,10,NA,77,60,10
25,11,NA,83,85,11
28,12,NA,NA,NA,13
32,13,NA,NA,NA,14
34,14,NA,NA,NA,15
36,15,NA,NA,NA,16
37,16,NA,NA,NA,17
38,17,NA,NA,NA,18
43,18,NA,NA,NA,19
45,19,NA,NA,NA,21
47,20,NA,NA,NA,23
49,21,NA,NA,NA,25
50,23,NA,NA,NA,27
52,24,NA,NA,NA,28
53,25,NA,NA,NA,29
54,27,NA,NA,NA,30
57,28,NA,NA,NA,31
61,29,NA,NA,NA,32
62,30,NA,NA,NA,33
63,31,NA,NA,NA,35
67,32,NA,NA,NA,36
70,33,NA,NA,NA,37
73,34,NA,NA,NA,38
77,35,NA,NA,NA,39
78,36,NA,NA,NA,40
79,37,NA,NA,NA,41
82,38,NA,NA,NA,42
84,39,NA,NA,NA,44
85,40,NA,NA,NA,45
86,41,NA,NA,NA,46
88,42,NA,NA,NA,47
91,43,NA,NA,NA,48
92,44,NA,NA,NA,49
96,45,NA,NA,NA,50
NA,46,NA,NA,NA,51
NA,47,NA,NA,NA,54
NA,48,NA,NA,NA,55
NA,49,NA,NA,NA,56
NA,50,NA,NA,NA,57
NA,51,NA,NA,NA,59
NA,53,NA,NA,NA,61
NA,54,NA,NA,NA,62
NA,55,NA,NA,NA,63
NA,56,NA,NA,NA,64
NA,57,NA,NA,NA,65
NA,59,NA,NA,NA,66
NA,61,NA,NA,NA,67
NA,62,NA,NA,NA,68
NA,63,NA,NA,NA,69
NA,64,NA,NA,NA,70
NA,65,NA,NA,NA,71
NA,66,NA,NA,NA,72
NA,67,NA,NA,NA,73
NA,68,NA,NA,NA,74
NA,69,NA,NA,NA,75
NA,70,NA,NA,NA,76
NA,71,NA,NA,NA,77
NA,72,NA,NA,NA,78
NA,73,NA,NA,NA,79
NA,74,NA,NA,NA,80
NA,75,NA,NA,NA,81
NA,76,NA,NA,NA,82
NA,77,NA,NA,NA,83
NA,78,NA,NA,NA,84
NA,79,NA,NA,NA,86
NA,80,NA,NA,NA,87
NA,81,NA,NA,NA,88
NA,82,NA,NA,NA,89
NA,83,NA,NA,NA,90
NA,84,NA,NA,NA,91
NA,86,NA,NA,NA,92
NA,87,NA,NA,NA,93
NA,88,NA,NA,NA,94
NA,89,NA,NA,NA,95
NA,90,NA,NA,NA,96
NA,91,NA,NA,NA,NA
NA,92,NA,NA,NA,NA
NA,93,NA,NA,NA,NA
NA,94,NA,NA,NA,NA
NA,95,NA,NA,NA,NA
NA,96,NA,NA,NA,NA
