"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
NA,2,NA,57,NA,NA
NA,3,NA,59,NA,NA
NA,7,NA,NA,NA,NA
NA,10,NA,NA,NA,NA
NA,11,NA,NA,NA,NA
NA,12,NA,NA,NA,NA
NA,16,NA,NA,NA,NA
NA,18,NA,NA,NA,NA
NA,19,NA,NA,NA,NA
NA,21,NA,NA,NA,NA
NA,22,NA,NA,NA,NA
NA,23,NA,NA,NA,NA
NA,29,NA,NA,NA,NA
NA,30,NA,NA,NA,NA
NA,32,NA,NA,NA,NA
NA,36,NA,NA,NA,NA
NA,38,NA,NA,NA,NA
NA,42,NA,NA,NA,NA
NA,45,NA,NA,NA,NA
NA,48,NA,NA,NA,NA
NA,49,NA,NA,NA,NA
NA,52,NA,NA,NA,NA
NA,54,NA,NA,NA,NA
NA,57,NA,NA,NA,NA
NA,60,NA,NA,NA,NA
NA,62,NA,NA,NA,NA
NA,65,NA,NA,NA,NA
NA,66,NA,NA,NA,NA
NA,68,NA,NA,NA,NA
NA,69,NA,NA,NA,NA
NA,70,NA,NA,NA,NA
NA,71,NA,NA,NA,NA
NA,73,NA,NA,NA,NA
NA,75,NA,NA,NA,NA
NA,77,NA,NA,NA,NA
NA,78,NA,NA,NA,NA
NA,81,NA,NA,NA,NA
NA,84,NA,NA,NA,NA
NA,87,NA,NA,NA,NA
NA,88,NA,NA,NA,NA
NA,91,NA,NA,NA,NA
NA,93,NA,NA,NA,NA
NA,95,NA,NA,NA,NA
NA,96,NA,NA,NA,NA
