"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
NA,1,NA,10,NA,1
NA,5,NA,11,NA,5
NA,7,NA,20,NA,7
NA,12,NA,21,NA,13
NA,13,NA,41,NA,15
NA,15,NA,52,NA,23
NA,23,NA,62,NA,24
NA,24,NA,65,NA,25
NA,25,NA,69,NA,26
NA,26,NA,72,NA,27
NA,27,NA,75,NA,28
NA,28,NA,NA,NA,33
NA,33,NA,NA,NA,34
NA,34,NA,NA,NA,35
NA,35,NA,NA,NA,42
NA,42,NA,NA,NA,43
NA,43,NA,NA,NA,47
NA,44,NA,NA,NA,48
NA,47,NA,NA,NA,49
NA,48,NA,NA,NA,51
NA,49,NA,NA,NA,52
NA,51,NA,NA,NA,55
NA,52,NA,NA,NA,56
NA,55,NA,NA,NA,57
NA,56,NA,NA,NA,60
NA,57,NA,NA,NA,66
NA,60,NA,NA,NA,67
NA,66,NA,NA,NA,74
NA,67,NA,NA,NA,77
NA,74,NA,NA,NA,78
NA,77,NA,NA,NA,80
NA,78,NA,NA,NA,81
NA,80,NA,NA,NA,83
NA,81,NA,NA,NA,84
NA,83,NA,NA,NA,86
NA,84,NA,NA,NA,87
NA,86,NA,NA,NA,88
NA,87,NA,NA,NA,90
NA,88,NA,NA,NA,91
NA,90,NA,NA,NA,94
NA,91,NA,NA,NA,95
NA,94,NA,NA,NA,NA
NA,95,NA,NA,NA,NA
