"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
6,1,NA,16,41,1
8,2,NA,18,56,2
11,3,NA,23,59,3
13,4,NA,57,68,4
16,5,NA,63,73,5
17,6,NA,72,76,6
20,7,NA,78,85,7
21,8,NA,79,87,8
22,9,NA,90,NA,9
23,10,NA,NA,NA,10
26,11,NA,NA,NA,11
28,12,NA,NA,NA,12
29,13,NA,NA,NA,13
34,14,NA,NA,NA,14
36,15,NA,NA,NA,15
37,16,NA,NA,NA,16
41,17,NA,NA,NA,17
44,18,NA,NA,NA,18
47,19,NA,NA,NA,19
48,20,NA,NA,NA,20
49,21,NA,NA,NA,21
52,22,NA,NA,NA,22
53,23,NA,NA,NA,23
56,24,NA,NA,NA,24
57,25,NA,NA,NA,25
63,26,NA,NA,NA,26
71,27,NA,NA,NA,27
75,28,NA,NA,NA,28
77,29,NA,NA,NA,29
79,30,NA,NA,NA,30
82,31,NA,NA,NA,31
85,32,NA,NA,NA,32
88,33,NA,NA,NA,33
89,34,NA,NA,NA,34
90,35,NA,NA,NA,35
93,36,NA,NA,NA,36
96,37,NA,NA,NA,37
NA,38,NA,NA,NA,38
NA,39,NA,NA,NA,39
NA,40,NA,NA,NA,40
NA,42,NA,NA,NA,42
NA,43,NA,NA,NA,43
NA,44,NA,NA,NA,44
NA,45,NA,NA,NA,45
NA,46,NA,NA,NA,46
NA,47,NA,NA,NA,47
NA,48,NA,NA,NA,48
NA,49,NA,NA,NA,49
NA,50,NA,NA,NA,50
NA,51,NA,NA,NA,51
NA,52,NA,NA,NA,52
NA,53,NA,NA,NA,53
NA,54,NA,NA,NA,54
NA,55,NA,NA,NA,55
NA,57,NA,NA,NA,57
NA,58,NA,NA,NA,58
NA,60,NA,NA,NA,60
NA,61,NA,NA,NA,61
NA,62,NA,NA,NA,62
NA,63,NA,NA,NA,63
NA,64,NA,NA,NA,64
NA,65,NA,NA,NA,65
NA,66,NA,NA,NA,66
NA,67,NA,NA,NA,67
NA,69,NA,NA,NA,69
NA,70,NA,NA,NA,70
NA,71,NA,NA,NA,71
NA,72,NA,NA,NA,72
NA,74,NA,NA,NA,74
NA,75,NA,NA,NA,75
NA,77,NA,NA,NA,77
NA,78,NA,NA,NA,78
NA,79,NA,NA,NA,79
NA,80,NA,NA,NA,80
NA,81,NA,NA,NA,81
NA,82,NA,NA,NA,82
NA,83,NA,NA,NA,83
NA,84,NA,NA,NA,84
NA,86,NA,NA,NA,86
NA,88,NA,NA,NA,88
NA,89,NA,NA,NA,89
NA,90,NA,NA,NA,90
NA,91,NA,NA,NA,91
NA,92,NA,NA,NA,92
NA,93,NA,NA,NA,93
NA,94,NA,NA,NA,94
NA,95,NA,NA,NA,95
NA,96,NA,NA,NA,96
