popsize, maxsubsize, migration, mutation, rec1, rec2, numinds, numindssub, maxrepro, overdom, numgens, parthreduction, parthpenalty, plotnumber

50000 5000 50000 100000000 0.5 0.5 1 1 300 0 10000 0.01 0 01
50000 5000 50000 100000000 0.5 0.5 1 2 300 0 10000 0.01 0 02
50000 5000 50000 100000000 0.5 0.5 2 1 300 0 10000 0.01 0 03
50000 5000 50000 100000000 0.5 0.5 2 2 300 0 10000 0.01 0 04
50000 5000 50000 100000000 0.5 0.5 1 10 300 0 10000 0.01 0 05
50000 5000 50000 100000000 0.5 0.5 10 1 300 0 10000 0.01 0 06
50000 5000 50000 100000000 0.5 0.5 12 6 300 0 10000 0.01 0 07
50000 5000 50000 100000000 0.5 0.5 24 12 300 0 10000 0.01 0 08
50000 5000 50000 100000000 0.5 0.5 50 25 300 0 10000 0.01 0 09
50000 5000 500000 100000000 0.5 0.5 1 1 300 0 10000 0.01 0 10
50000 5000 500000 100000000 0.5 0.5 1 2 300 0 10000 0.01 0 11
50000 5000 500000 100000000 0.5 0.5 2 1 300 0 10000 0.01 0 12
50000 5000 500000 100000000 0.5 0.5 2 2 300 0 10000 0.01 0 13
50000 5000 500000 100000000 0.5 0.5 1 10 300 0 10000 0.01 0 14
50000 5000 500000 100000000 0.5 0.5 10 1 300 0 10000 0.01 0 15
50000 5000 500000 100000000 0.5 0.5 12 6 300 0 10000 0.01 0 16
50000 5000 500000 100000000 0.5 0.5 24 12 300 0 10000 0.01 0 17
50000 5000 500000 100000000 0.5 0.5 50 25 300 0 10000 0.01 0 18
50000 1000 50000 100000000 0.5 0.5 1 1 300 0 10000 0.01 0 19
50000 1000 50000 100000000 0.5 0.5 1 2 300 0 10000 0.01 0 20
50000 1000 50000 100000000 0.5 0.5 2 1 300 0 10000 0.01 0 21
50000 1000 50000 100000000 0.5 0.5 2 2 300 0 10000 0.01 0 22
50000 1000 50000 100000000 0.5 0.5 1 10 300 0 10000 0.01 0 23
50000 1000 50000 100000000 0.5 0.5 10 1 300 0 10000 0.01 0 24
50000 1000 50000 100000000 0.5 0.5 12 6 300 0 10000 0.01 0 25
50000 1000 50000 100000000 0.5 0.5 24 12 300 0 10000 0.01 0 26
50000 1000 50000 100000000 0.5 0.5 50 25 300 0 10000 0.01 0 27
50000 1000 500000 100000000 0.5 0.5 1 1 300 0 10000 0.01 0 28
50000 1000 500000 100000000 0.5 0.5 1 2 300 0 10000 0.01 0 29
50000 1000 500000 100000000 0.5 0.5 2 1 300 0 10000 0.01 0 30
50000 1000 500000 100000000 0.5 0.5 2 2 300 0 10000 0.01 0 31
50000 1000 500000 100000000 0.5 0.5 1 10 300 0 10000 0.01 0 32
50000 1000 500000 100000000 0.5 0.5 10 1 300 0 10000 0.01 0 33
50000 1000 500000 100000000 0.5 0.5 12 6 300 0 10000 0.01 0 34
50000 1000 500000 100000000 0.5 0.5 24 12 300 0 10000 0.01 0 35
50000 1000 500000 100000000 0.5 0.5 50 25 300 0 10000 0.01 0 36
50000 200 50000 100000000 0.5 0.5 1 1 300 0 10000 0.01 0 37
50000 200 50000 100000000 0.5 0.5 1 2 300 0 10000 0.01 0 38
50000 200 50000 100000000 0.5 0.5 2 1 300 0 10000 0.01 0 39
50000 200 50000 100000000 0.5 0.5 2 2 300 0 10000 0.01 0 40
50000 200 50000 100000000 0.5 0.5 1 10 300 0 10000 0.01 0 41
50000 200 50000 100000000 0.5 0.5 10 1 300 0 10000 0.01 0 42
50000 200 50000 100000000 0.5 0.5 12 6 300 0 10000 0.01 0 43
50000 200 50000 100000000 0.5 0.5 24 12 300 0 10000 0.01 0 44
50000 200 50000 100000000 0.5 0.5 50 25 300 0 10000 0.01 0 45
50000 200 500000 100000000 0.5 0.5 1 1 300 0 10000 0.01 0 46
50000 200 500000 100000000 0.5 0.5 1 2 300 0 10000 0.01 0 47
50000 200 500000 100000000 0.5 0.5 2 1 300 0 10000 0.01 0 48
50000 200 500000 100000000 0.5 0.5 2 2 300 0 10000 0.01 0 49
50000 200 500000 100000000 0.5 0.5 1 10 300 0 10000 0.01 0 50
50000 200 500000 100000000 0.5 0.5 10 1 300 0 10000 0.01 0 51
50000 200 500000 100000000 0.5 0.5 12 6 300 0 10000 0.01 0 52
50000 200 500000 100000000 0.5 0.5 24 12 300 0 10000 0.01 0 53
50000 200 500000 100000000 0.5 0.5 50 25 300 0 10000 0.01 0 54
50000 25 50000 100000000 0.5 0.5 1 1 300 0 10000 0.01 0 55
50000 25 50000 100000000 0.5 0.5 1 2 300 0 10000 0.01 0 56
50000 25 50000 100000000 0.5 0.5 2 1 300 0 10000 0.01 0 57
50000 25 50000 100000000 0.5 0.5 2 2 300 0 10000 0.01 0 58
50000 25 50000 100000000 0.5 0.5 1 10 300 0 10000 0.01 0 59
50000 25 50000 100000000 0.5 0.5 10 1 300 0 10000 0.01 0 60
50000 25 50000 100000000 0.5 0.5 12 6 300 0 10000 0.01 0 61
50000 25 50000 100000000 0.5 0.5 24 12 300 0 10000 0.01 0 62
50000 25 50000 100000000 0.5 0.5 50 25 300 0 10000 0.01 0 63
50000 25 500000 100000000 0.5 0.5 1 1 300 0 10000 0.01 0 64
50000 25 500000 100000000 0.5 0.5 1 2 300 0 10000 0.01 0 65
50000 25 500000 100000000 0.5 0.5 2 1 300 0 10000 0.01 0 66
50000 25 500000 100000000 0.5 0.5 2 2 300 0 10000 0.01 0 67
50000 25 500000 100000000 0.5 0.5 1 10 300 0 10000 0.01 0 68
50000 25 500000 100000000 0.5 0.5 10 1 300 0 10000 0.01 0 69
50000 25 500000 100000000 0.5 0.5 12 6 300 0 10000 0.01 0 70
50000 25 500000 100000000 0.5 0.5 24 12 300 0 10000 0.01 0 71
50000 25 500000 100000000 0.5 0.5 50 25 300 0 10000 0.01 0 72
