popsize, maxsubsize, migration, mutation, rec1, rec2, numinds, numindssub, maxrepro, overdom, numgens, parthreduction, parthpenalty, plotnumber

5000 500 5000 10000 0.5 0.5 1 1 100 0 1000 0.2 0.0 0
5000 500 5000 10000 0.5 0.5 1 1 100 0 1000 0.2 0.05 1
5000 500 5000 10000 0.5 0.5 1 1 100 0 1000 0.2 0.15 2
5000 500 5000 10000 0.5 0.5 1 1 100 0 1000 0.2 0.25 3
5000 500 5000 10000 0.5 0.5 1 2 100 0 1000 0.2 0.0 4
5000 500 5000 10000 0.5 0.5 1 2 100 0 1000 0.2 0.05 5
5000 500 5000 10000 0.5 0.5 1 2 100 0 1000 0.2 0.15 6
5000 500 5000 10000 0.5 0.5 1 2 100 0 1000 0.2 0.25 7
5000 500 5000 10000 0.5 0.5 2 1 100 0 1000 0.2 0.0 8
5000 500 5000 10000 0.5 0.5 2 1 100 0 1000 0.2 0.05 9
5000 500 5000 10000 0.5 0.5 2 1 100 0 1000 0.2 0.15 10
5000 500 5000 10000 0.5 0.5 2 1 100 0 1000 0.2 0.25 11
5000 500 5000 10000 0.5 0.5 2 2 100 0 1000 0.2 0.0 12
5000 500 5000 10000 0.5 0.5 2 2 100 0 1000 0.2 0.05 13
5000 500 5000 10000 0.5 0.5 2 2 100 0 1000 0.2 0.15 14
5000 500 5000 10000 0.5 0.5 2 2 100 0 1000 0.2 0.25 15
5000 500 5000 10000 0.5 0.5 1 5 100 0 1000 0.2 0.0 16
5000 500 5000 10000 0.5 0.5 1 5 100 0 1000 0.2 0.05 17
5000 500 5000 10000 0.5 0.5 1 5 100 0 1000 0.2 0.15 18
5000 500 5000 10000 0.5 0.5 1 5 100 0 1000 0.2 0.25 19
5000 500 5000 10000 0.5 0.5 2 5 100 0 1000 0.2 0.0 20
5000 500 5000 10000 0.5 0.5 2 5 100 0 1000 0.2 0.05 21
5000 500 5000 10000 0.5 0.5 2 5 100 0 1000 0.2 0.15 22
5000 500 5000 10000 0.5 0.5 2 5 100 0 1000 0.2 0.25 23
5000 500 5000 10000 0.5 0.5 5 1 100 0 1000 0.2 0.0 24
5000 500 5000 10000 0.5 0.5 5 1 100 0 1000 0.2 0.05 25
5000 500 5000 10000 0.5 0.5 5 1 100 0 1000 0.2 0.15 26
5000 500 5000 10000 0.5 0.5 5 1 100 0 1000 0.2 0.25 27
5000 500 5000 10000 0.5 0.5 5 2 100 0 1000 0.2 0.0 28
5000 500 5000 10000 0.5 0.5 5 2 100 0 1000 0.2 0.05 29
5000 500 5000 10000 0.5 0.5 5 2 100 0 1000 0.2 0.15 30
5000 500 5000 10000 0.5 0.5 5 2 100 0 1000 0.2 0.25 31
5000 500 5000 10000 0.5 0.5 10 5 100 0 1000 0.2 0.0 32
5000 500 5000 10000 0.5 0.5 10 5 100 0 1000 0.2 0.05 33
5000 500 5000 10000 0.5 0.5 10 5 100 0 1000 0.2 0.15 34
5000 500 5000 10000 0.5 0.5 10 5 100 0 1000 0.2 0.25 35
5000 500 5000 10000 0.5 0.5 20 10 100 0 1000 0.2 0.0 36
5000 500 5000 10000 0.5 0.5 20 10 100 0 1000 0.2 0.05 37
5000 500 5000 10000 0.5 0.5 20 10 100 0 1000 0.2 0.15 38
5000 500 5000 10000 0.5 0.5 20 10 100 0 1000 0.2 0.25 39
5000 500 5000 100000 0.5 0.5 1 1 100 0 1000 0.2 0.0 40
5000 500 5000 100000 0.5 0.5 1 1 100 0 1000 0.2 0.05 41
5000 500 5000 100000 0.5 0.5 1 1 100 0 1000 0.2 0.15 42
5000 500 5000 100000 0.5 0.5 1 1 100 0 1000 0.2 0.25 43
5000 500 5000 100000 0.5 0.5 1 2 100 0 1000 0.2 0.0 44
5000 500 5000 100000 0.5 0.5 1 2 100 0 1000 0.2 0.05 45
5000 500 5000 100000 0.5 0.5 1 2 100 0 1000 0.2 0.15 46
5000 500 5000 100000 0.5 0.5 1 2 100 0 1000 0.2 0.25 47
5000 500 5000 100000 0.5 0.5 2 1 100 0 1000 0.2 0.0 48
5000 500 5000 100000 0.5 0.5 2 1 100 0 1000 0.2 0.05 49
5000 500 5000 100000 0.5 0.5 2 1 100 0 1000 0.2 0.15 50
5000 500 5000 100000 0.5 0.5 2 1 100 0 1000 0.2 0.25 51
5000 500 5000 100000 0.5 0.5 2 2 100 0 1000 0.2 0.0 52
5000 500 5000 100000 0.5 0.5 2 2 100 0 1000 0.2 0.05 53
5000 500 5000 100000 0.5 0.5 2 2 100 0 1000 0.2 0.15 54
5000 500 5000 100000 0.5 0.5 2 2 100 0 1000 0.2 0.25 55
5000 500 5000 100000 0.5 0.5 1 5 100 0 1000 0.2 0.0 56
5000 500 5000 100000 0.5 0.5 1 5 100 0 1000 0.2 0.05 57
5000 500 5000 100000 0.5 0.5 1 5 100 0 1000 0.2 0.15 58
5000 500 5000 100000 0.5 0.5 1 5 100 0 1000 0.2 0.25 59
5000 500 5000 100000 0.5 0.5 2 5 100 0 1000 0.2 0.0 60
5000 500 5000 100000 0.5 0.5 2 5 100 0 1000 0.2 0.05 61
5000 500 5000 100000 0.5 0.5 2 5 100 0 1000 0.2 0.15 62
5000 500 5000 100000 0.5 0.5 2 5 100 0 1000 0.2 0.25 63
5000 500 5000 100000 0.5 0.5 5 1 100 0 1000 0.2 0.0 64
5000 500 5000 100000 0.5 0.5 5 1 100 0 1000 0.2 0.05 65
5000 500 5000 100000 0.5 0.5 5 1 100 0 1000 0.2 0.15 66
5000 500 5000 100000 0.5 0.5 5 1 100 0 1000 0.2 0.25 67
5000 500 5000 100000 0.5 0.5 5 2 100 0 1000 0.2 0.0 68
5000 500 5000 100000 0.5 0.5 5 2 100 0 1000 0.2 0.05 69
5000 500 5000 100000 0.5 0.5 5 2 100 0 1000 0.2 0.15 70
5000 500 5000 100000 0.5 0.5 5 2 100 0 1000 0.2 0.25 71
5000 500 5000 100000 0.5 0.5 10 5 100 0 1000 0.2 0.0 72
5000 500 5000 100000 0.5 0.5 10 5 100 0 1000 0.2 0.05 73
