popsize, maxsubsize, migration, mutation, rec1, rec2, numinds, numindssub, maxrepro, overdom, numgens, parthreduction, parthpenalty, plotnumber

500000 50000 500000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0 001
500000 50000 500000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0 002
500000 50000 500000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0 003
500000 50000 500000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0 004
500000 50000 500000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0 005
500000 50000 500000 10000000 0.5 0.5 10 1 300 0 1000 0.01 0 006
500000 50000 500000 10000000 0.5 0.5 12 6 300 0 1000 0.01 0 007
500000 50000 500000 10000000 0.5 0.5 24 12 300 0 1000 0.01 0 008
500000 50000 500000 10000000 0.5 0.5 50 25 300 0 1000 0.01 0 009
500000 50000 500000 100000000 0.5 0.5 1 1 300 0 1000 0.01 0 010
500000 50000 500000 100000000 0.5 0.5 1 2 300 0 1000 0.01 0 011
500000 50000 500000 100000000 0.5 0.5 2 1 300 0 1000 0.01 0 012
500000 50000 500000 100000000 0.5 0.5 2 2 300 0 1000 0.01 0 013
500000 50000 500000 100000000 0.5 0.5 1 10 300 0 1000 0.01 0 014
500000 50000 500000 100000000 0.5 0.5 10 1 300 0 1000 0.01 0 015
500000 50000 500000 100000000 0.5 0.5 12 6 300 0 1000 0.01 0 016
500000 50000 500000 100000000 0.5 0.5 24 12 300 0 1000 0.01 0 017
500000 50000 500000 100000000 0.5 0.5 50 25 300 0 1000 0.01 0 018
500000 50000 5000000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0 019
500000 50000 5000000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0 020
500000 50000 5000000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0 021
500000 50000 5000000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0 022
500000 50000 5000000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0 023
500000 50000 5000000 10000000 0.5 0.5 10 1 300 0 1000 0.01 0 024
500000 50000 5000000 10000000 0.5 0.5 12 6 300 0 1000 0.01 0 025
500000 50000 5000000 10000000 0.5 0.5 24 12 300 0 1000 0.01 0 026
500000 50000 5000000 10000000 0.5 0.5 50 25 300 0 1000 0.01 0 027
500000 50000 5000000 100000000 0.5 0.5 1 1 300 0 1000 0.01 0 028
500000 50000 5000000 100000000 0.5 0.5 1 2 300 0 1000 0.01 0 029
500000 50000 5000000 100000000 0.5 0.5 2 1 300 0 1000 0.01 0 030
500000 50000 5000000 100000000 0.5 0.5 2 2 300 0 1000 0.01 0 031
500000 50000 5000000 100000000 0.5 0.5 1 10 300 0 1000 0.01 0 032
500000 50000 5000000 100000000 0.5 0.5 10 1 300 0 1000 0.01 0 033
500000 50000 5000000 100000000 0.5 0.5 12 6 300 0 1000 0.01 0 034
500000 50000 5000000 100000000 0.5 0.5 24 12 300 0 1000 0.01 0 035
500000 50000 5000000 100000000 0.5 0.5 50 25 300 0 1000 0.01 0 036
500000 10000 500000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0 037
500000 10000 500000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0 038
500000 10000 500000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0 039
500000 10000 500000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0 040
500000 10000 500000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0 041
