popsize, maxsubsize, migration, mutation, rec1, rec2, numinds, maxrepro, overdom, numgens, parthreduction, parthpenalty, plotnumber

50000 5000 50000 10000 0.5 0.5 50 50 0 1000 0.2 0.14 00
50000 5000 50000 10000 0.5 0.5 25 50 0 1000 0.2 0.14 01
50000 5000 50000 10000 0.5 0.5 10 50 0 1000 0.2 0.14 02
50000 1000 50000 10000 0.5 0.5 50 50 0 1000 0.2 0.14 03
50000 1000 50000 10000 0.5 0.5 25 50 0 1000 0.2 0.14 04
50000 1000 50000 10000 0.5 0.5 10 50 0 1000 0.2 0.14 05
50000 100 50000 10000 0.5 0.5 50 50 0 1000 0.2 0.14 06  
50000 100 50000 10000 0.5 0.5 25 50 0 1000 0.2 0.14 07
50000 100 50000 10000 0.5 0.5 10 50 0 1000 0.2 0.14 08

50000 5000 250000 10000 0.5 0.5 50 50 0 1000 0.2 0.14 09
50000 5000 250000 10000 0.5 0.5 25 50 0 1000 0.2 0.14 10
50000 5000 250000 10000 0.5 0.5 10 50 0 1000 0.2 0.14 11
50000 1000 250000 10000 0.5 0.5 50 50 0 1000 0.2 0.14 12  
50000 1000 250000 10000 0.5 0.5 25 50 0 1000 0.2 0.14 13
50000 1000 250000 10000 0.5 0.5 10 50 0 1000 0.2 0.14 14
50000 100 250000 10000 0.5 0.5 50 50 0 1000 0.2 0.14 15
50000 100 250000 10000 0.5 0.5 25 50 0 1000 0.2 0.14 16
50000 100 250000 10000 0.5 0.5 10 50 0 1000 0.2 0.14 17

50000 5000 50000 10000 0.5 0.5 100 100 0 1000 0.2 0.15 18
50000 5000 50000 10000 0.5 0.5 50 100 0 1000 0.2 0.15 19
50000 5000 50000 10000 0.5 0.5 25 100 0 1000 0.2 0.15 20
50000 2500 50000 10000 0.5 0.5 100 100 0 1000 0.2 0.15 21
50000 2500 50000 10000 0.5 0.5 50 100 0 1000 0.2 0.15 22
50000 2500 50000 10000 0.5 0.5 25 100 0 1000 0.2 0.15 23
50000 1000 50000 10000 0.5 0.5 100 100 0 1000 0.2 0.15 24  
50000 1000 50000 10000 0.5 0.5 50 100 0 1000 0.2 0.15 25
50000 1000 50000 10000 0.5 0.5 25 100 0 1000 0.2 0.15 26

50000 5000 250000 10000 0.5 0.5 100 100 0 1000 0.2 0.15 27
50000 5000 250000 10000 0.5 0.5 50 100 0 1000 0.2 0.15 28
50000 5000 250000 10000 0.5 0.5 25 100 0 1000 0.2 0.15 29
50000 2500 250000 10000 0.5 0.5 100 100 0 1000 0.2 0.15 30
50000 2500 250000 10000 0.5 0.5 50 100 0 1000 0.2 0.15 31
50000 2500 250000 10000 0.5 0.5 25 100 0 1000 0.2 0.15 32
50000 1000 250000 10000 0.5 0.5 100 100 0 1000 0.2 0.15 33
50000 1000 250000 10000 0.5 0.5 50 100 0 1000 0.2 0.15 34
50000 1000 250000 10000 0.5 0.5 25 100 0 1000 0.2 0.15 35
