popsize, maxsubsize, migration, mutation, rec1, rec2, numinds, numindssub, maxrepro, overdom, numgens, parthreduction, parthpenalty, plotnumber
5000 500 5000 100000 0.5 0.5 50 25 300 0 10000 0.01 0.15 079
5000 500 5000 100000 0.5 0.5 50 25 300 0 10000 0.01 0.25 080
5000 500 50000 10000 0.5 0.5 1 1 300 0 10000 0.01 0.0 081
5000 500 50000 10000 0.5 0.5 1 1 300 0 10000 0.01 0.05 082
5000 500 50000 10000 0.5 0.5 1 1 300 0 10000 0.01 0.15 083
5000 500 50000 10000 0.5 0.5 1 1 300 0 10000 0.01 0.25 084
5000 500 50000 10000 0.5 0.5 1 2 300 0 10000 0.01 0.0 085
5000 500 50000 10000 0.5 0.5 1 2 300 0 10000 0.01 0.05 086
5000 500 50000 10000 0.5 0.5 1 2 300 0 10000 0.01 0.15 087
5000 500 50000 10000 0.5 0.5 1 2 300 0 10000 0.01 0.25 088
5000 500 50000 10000 0.5 0.5 2 1 300 0 10000 0.01 0.0 089
5000 500 50000 10000 0.5 0.5 2 1 300 0 10000 0.01 0.05 090
5000 500 50000 10000 0.5 0.5 2 1 300 0 10000 0.01 0.15 091
5000 500 50000 10000 0.5 0.5 2 1 300 0 10000 0.01 0.25 092
5000 500 50000 10000 0.5 0.5 2 2 300 0 10000 0.01 0.0 093
5000 500 50000 10000 0.5 0.5 2 2 300 0 10000 0.01 0.05 094
5000 500 50000 10000 0.5 0.5 2 2 300 0 10000 0.01 0.15 095
5000 500 50000 10000 0.5 0.5 2 2 300 0 10000 0.01 0.25 096
5000 500 50000 10000 0.5 0.5 1 6 300 0 10000 0.01 0.0 097
5000 500 50000 10000 0.5 0.5 1 6 300 0 10000 0.01 0.05 098
5000 500 50000 10000 0.5 0.5 1 6 300 0 10000 0.01 0.15 099
5000 500 50000 10000 0.5 0.5 1 6 300 0 10000 0.01 0.25 100
5000 500 50000 10000 0.5 0.5 6 1 300 0 10000 0.01 0.0 101
5000 500 50000 10000 0.5 0.5 6 1 300 0 10000 0.01 0.05 102
5000 500 50000 10000 0.5 0.5 6 1 300 0 10000 0.01 0.15 103
5000 500 50000 10000 0.5 0.5 6 1 300 0 10000 0.01 0.25 104
5000 500 50000 10000 0.5 0.5 10 5 300 0 10000 0.01 0.0 105
5000 500 50000 10000 0.5 0.5 10 5 300 0 10000 0.01 0.05 106
5000 500 50000 10000 0.5 0.5 10 5 300 0 10000 0.01 0.15 107
5000 500 50000 10000 0.5 0.5 10 5 300 0 10000 0.01 0.25 108
5000 500 50000 10000 0.5 0.5 16 8 300 0 10000 0.01 0.0 109
5000 500 50000 10000 0.5 0.5 16 8 300 0 10000 0.01 0.05 110
5000 500 50000 10000 0.5 0.5 16 8 300 0 10000 0.01 0.15 111
5000 500 50000 10000 0.5 0.5 16 8 300 0 10000 0.01 0.25 112
5000 500 50000 10000 0.5 0.5 24 12 300 0 10000 0.01 0.0 113
5000 500 50000 10000 0.5 0.5 24 12 300 0 10000 0.01 0.05 114
5000 500 50000 10000 0.5 0.5 24 12 300 0 10000 0.01 0.15 115
5000 500 50000 10000 0.5 0.5 24 12 300 0 10000 0.01 0.25 116
5000 500 50000 10000 0.5 0.5 50 25 300 0 10000 0.01 0.0 117
5000 500 50000 10000 0.5 0.5 50 25 300 0 10000 0.01 0.05 118
5000 500 50000 10000 0.5 0.5 50 25 300 0 10000 0.01 0.15 119
5000 500 50000 10000 0.5 0.5 50 25 300 0 10000 0.01 0.25 120
5000 500 50000 100000 0.5 0.5 1 1 300 0 10000 0.01 0.0 121
5000 500 50000 100000 0.5 0.5 1 1 300 0 10000 0.01 0.05 122
5000 500 50000 100000 0.5 0.5 1 1 300 0 10000 0.01 0.15 123
5000 500 50000 100000 0.5 0.5 1 1 300 0 10000 0.01 0.25 124
5000 500 50000 100000 0.5 0.5 1 2 300 0 10000 0.01 0.0 125
5000 500 50000 100000 0.5 0.5 1 2 300 0 10000 0.01 0.05 126
5000 500 50000 100000 0.5 0.5 1 2 300 0 10000 0.01 0.15 127
5000 500 50000 100000 0.5 0.5 1 2 300 0 10000 0.01 0.25 128
5000 500 50000 100000 0.5 0.5 2 1 300 0 10000 0.01 0.0 129
5000 500 50000 100000 0.5 0.5 2 1 300 0 10000 0.01 0.05 130
5000 500 50000 100000 0.5 0.5 2 1 300 0 10000 0.01 0.15 131
5000 500 50000 100000 0.5 0.5 2 1 300 0 10000 0.01 0.25 132
5000 500 50000 100000 0.5 0.5 2 2 300 0 10000 0.01 0.0 133
5000 500 50000 100000 0.5 0.5 2 2 300 0 10000 0.01 0.05 134
5000 500 50000 100000 0.5 0.5 2 2 300 0 10000 0.01 0.15 135
5000 500 50000 100000 0.5 0.5 2 2 300 0 10000 0.01 0.25 136
5000 500 50000 100000 0.5 0.5 1 6 300 0 10000 0.01 0.0 137
5000 500 50000 100000 0.5 0.5 1 6 300 0 10000 0.01 0.05 138
5000 500 50000 100000 0.5 0.5 1 6 300 0 10000 0.01 0.15 139
5000 500 50000 100000 0.5 0.5 1 6 300 0 10000 0.01 0.25 140
5000 500 50000 100000 0.5 0.5 6 1 300 0 10000 0.01 0.0 141
5000 500 50000 100000 0.5 0.5 6 1 300 0 10000 0.01 0.05 142
5000 500 50000 100000 0.5 0.5 6 1 300 0 10000 0.01 0.15 143
5000 500 50000 100000 0.5 0.5 6 1 300 0 10000 0.01 0.25 144
5000 500 50000 100000 0.5 0.5 10 5 300 0 10000 0.01 0.0 145
5000 500 50000 100000 0.5 0.5 10 5 300 0 10000 0.01 0.05 146
5000 500 50000 100000 0.5 0.5 10 5 300 0 10000 0.01 0.15 147
5000 500 50000 100000 0.5 0.5 10 5 300 0 10000 0.01 0.25 148
5000 500 50000 100000 0.5 0.5 16 8 300 0 10000 0.01 0.0 149
5000 500 50000 100000 0.5 0.5 16 8 300 0 10000 0.01 0.05 150
5000 500 50000 100000 0.5 0.5 16 8 300 0 10000 0.01 0.15 151
5000 500 50000 100000 0.5 0.5 16 8 300 0 10000 0.01 0.25 152
5000 500 50000 100000 0.5 0.5 24 12 300 0 10000 0.01 0.0 153
5000 500 50000 100000 0.5 0.5 24 12 300 0 10000 0.01 0.05 154
5000 500 50000 100000 0.5 0.5 24 12 300 0 10000 0.01 0.15 155
5000 500 50000 100000 0.5 0.5 24 12 300 0 10000 0.01 0.25 156
5000 500 50000 100000 0.5 0.5 50 25 300 0 10000 0.01 0.0 157
5000 500 50000 100000 0.5 0.5 50 25 300 0 10000 0.01 0.05 158
5000 500 50000 100000 0.5 0.5 50 25 300 0 10000 0.01 0.15 159
5000 500 50000 100000 0.5 0.5 50 25 300 0 10000 0.01 0.25 160
5000 100 5000 10000 0.5 0.5 1 1 300 0 10000 0.01 0.0 161
5000 100 5000 10000 0.5 0.5 1 1 300 0 10000 0.01 0.05 162
5000 100 5000 10000 0.5 0.5 1 1 300 0 10000 0.01 0.15 163
5000 100 5000 10000 0.5 0.5 1 1 300 0 10000 0.01 0.25 164
5000 100 5000 10000 0.5 0.5 1 2 300 0 10000 0.01 0.0 165
5000 100 5000 10000 0.5 0.5 1 2 300 0 10000 0.01 0.05 166
5000 100 5000 10000 0.5 0.5 1 2 300 0 10000 0.01 0.15 167
5000 100 5000 10000 0.5 0.5 1 2 300 0 10000 0.01 0.25 168
5000 100 5000 10000 0.5 0.5 2 1 300 0 10000 0.01 0.0 169
5000 100 5000 10000 0.5 0.5 2 1 300 0 10000 0.01 0.05 170
5000 100 5000 10000 0.5 0.5 2 1 300 0 10000 0.01 0.15 171
5000 100 5000 10000 0.5 0.5 2 1 300 0 10000 0.01 0.25 172
5000 100 5000 10000 0.5 0.5 2 2 300 0 10000 0.01 0.0 173
5000 100 5000 10000 0.5 0.5 2 2 300 0 10000 0.01 0.05 174
5000 100 5000 10000 0.5 0.5 2 2 300 0 10000 0.01 0.15 175
5000 100 5000 10000 0.5 0.5 2 2 300 0 10000 0.01 0.25 176
5000 100 5000 10000 0.5 0.5 1 6 300 0 10000 0.01 0.0 177
5000 100 5000 10000 0.5 0.5 1 6 300 0 10000 0.01 0.05 178
5000 100 5000 10000 0.5 0.5 1 6 300 0 10000 0.01 0.15 179
5000 100 5000 10000 0.5 0.5 1 6 300 0 10000 0.01 0.25 180
5000 100 5000 10000 0.5 0.5 6 1 300 0 10000 0.01 0.0 181
5000 100 5000 10000 0.5 0.5 6 1 300 0 10000 0.01 0.05 182
5000 100 5000 10000 0.5 0.5 6 1 300 0 10000 0.01 0.15 183
5000 100 5000 10000 0.5 0.5 6 1 300 0 10000 0.01 0.25 184
5000 100 5000 10000 0.5 0.5 10 5 300 0 10000 0.01 0.0 185
5000 100 5000 10000 0.5 0.5 10 5 300 0 10000 0.01 0.05 186
5000 100 5000 10000 0.5 0.5 10 5 300 0 10000 0.01 0.15 187
5000 100 5000 10000 0.5 0.5 10 5 300 0 10000 0.01 0.25 188
5000 100 5000 10000 0.5 0.5 16 8 300 0 10000 0.01 0.0 189
5000 100 5000 10000 0.5 0.5 16 8 300 0 10000 0.01 0.05 190
5000 100 5000 10000 0.5 0.5 16 8 300 0 10000 0.01 0.15 191
5000 100 5000 10000 0.5 0.5 16 8 300 0 10000 0.01 0.25 192
5000 100 5000 10000 0.5 0.5 24 12 300 0 10000 0.01 0.0 193
5000 100 5000 10000 0.5 0.5 24 12 300 0 10000 0.01 0.05 194
5000 100 5000 10000 0.5 0.5 24 12 300 0 10000 0.01 0.15 195
5000 100 5000 10000 0.5 0.5 24 12 300 0 10000 0.01 0.25 196
5000 100 5000 10000 0.5 0.5 50 25 300 0 10000 0.01 0.0 197
5000 100 5000 10000 0.5 0.5 50 25 300 0 10000 0.01 0.05 198
5000 100 5000 10000 0.5 0.5 50 25 300 0 10000 0.01 0.15 199
5000 100 5000 10000 0.5 0.5 50 25 300 0 10000 0.01 0.25 200
5000 100 5000 100000 0.5 0.5 1 1 300 0 10000 0.01 0.0 201
5000 100 5000 100000 0.5 0.5 1 1 300 0 10000 0.01 0.05 202
5000 100 5000 100000 0.5 0.5 1 1 300 0 10000 0.01 0.15 203
5000 100 5000 100000 0.5 0.5 1 1 300 0 10000 0.01 0.25 204
5000 100 5000 100000 0.5 0.5 1 2 300 0 10000 0.01 0.0 205
5000 100 5000 100000 0.5 0.5 1 2 300 0 10000 0.01 0.05 206
5000 100 5000 100000 0.5 0.5 1 2 300 0 10000 0.01 0.15 207
5000 100 5000 100000 0.5 0.5 1 2 300 0 10000 0.01 0.25 208
5000 100 5000 100000 0.5 0.5 2 1 300 0 10000 0.01 0.0 209
5000 100 5000 100000 0.5 0.5 2 1 300 0 10000 0.01 0.05 210
5000 100 5000 100000 0.5 0.5 2 1 300 0 10000 0.01 0.15 211
5000 100 5000 100000 0.5 0.5 2 1 300 0 10000 0.01 0.25 212
5000 100 5000 100000 0.5 0.5 2 2 300 0 10000 0.01 0.0 213
5000 100 5000 100000 0.5 0.5 2 2 300 0 10000 0.01 0.05 214
5000 100 5000 100000 0.5 0.5 2 2 300 0 10000 0.01 0.15 215
5000 100 5000 100000 0.5 0.5 2 2 300 0 10000 0.01 0.25 216
5000 100 5000 100000 0.5 0.5 1 6 300 0 10000 0.01 0.0 217
5000 100 5000 100000 0.5 0.5 1 6 300 0 10000 0.01 0.05 218
5000 100 5000 100000 0.5 0.5 1 6 300 0 10000 0.01 0.15 219
5000 100 5000 100000 0.5 0.5 1 6 300 0 10000 0.01 0.25 220
5000 100 5000 100000 0.5 0.5 6 1 300 0 10000 0.01 0.0 221
5000 100 5000 100000 0.5 0.5 6 1 300 0 10000 0.01 0.05 222
5000 100 5000 100000 0.5 0.5 6 1 300 0 10000 0.01 0.15 223
5000 100 5000 100000 0.5 0.5 6 1 300 0 10000 0.01 0.25 224
5000 100 5000 100000 0.5 0.5 10 5 300 0 10000 0.01 0.0 225
5000 100 5000 100000 0.5 0.5 10 5 300 0 10000 0.01 0.05 226
5000 100 5000 100000 0.5 0.5 10 5 300 0 10000 0.01 0.15 227
5000 100 5000 100000 0.5 0.5 10 5 300 0 10000 0.01 0.25 228
5000 100 5000 100000 0.5 0.5 16 8 300 0 10000 0.01 0.0 229
5000 100 5000 100000 0.5 0.5 16 8 300 0 10000 0.01 0.05 230
5000 100 5000 100000 0.5 0.5 16 8 300 0 10000 0.01 0.15 231
5000 100 5000 100000 0.5 0.5 16 8 300 0 10000 0.01 0.25 232
5000 100 5000 100000 0.5 0.5 24 12 300 0 10000 0.01 0.0 233
5000 100 5000 100000 0.5 0.5 24 12 300 0 10000 0.01 0.05 234
5000 100 5000 100000 0.5 0.5 24 12 300 0 10000 0.01 0.15 235
5000 100 5000 100000 0.5 0.5 24 12 300 0 10000 0.01 0.25 236
