"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
2,1,NA,4,14,1
3,2,NA,8,29,2
5,3,NA,30,34,3
10,4,NA,32,41,4
13,5,NA,33,49,5
16,6,NA,35,54,6
18,7,NA,46,56,7
19,8,NA,52,90,8
24,9,NA,60,NA,9
26,11,NA,67,NA,11
28,12,NA,NA,NA,12
31,13,NA,NA,NA,13
32,15,NA,NA,NA,15
42,16,NA,NA,NA,16
44,17,NA,NA,NA,17
46,18,NA,NA,NA,18
47,19,NA,NA,NA,19
48,20,NA,NA,NA,20
50,21,NA,NA,NA,21
51,22,NA,NA,NA,22
53,23,NA,NA,NA,23
58,24,NA,NA,NA,24
62,25,NA,NA,NA,25
63,26,NA,NA,NA,26
65,27,NA,NA,NA,27
66,28,NA,NA,NA,28
68,30,NA,NA,NA,30
69,31,NA,NA,NA,31
70,32,NA,NA,NA,32
73,33,NA,NA,NA,33
74,35,NA,NA,NA,35
75,36,NA,NA,NA,37
80,37,NA,NA,NA,38
81,38,NA,NA,NA,39
82,39,NA,NA,NA,40
83,40,NA,NA,NA,42
86,42,NA,NA,NA,43
87,43,NA,NA,NA,44
88,44,NA,NA,NA,45
90,45,NA,NA,NA,46
91,46,NA,NA,NA,47
93,47,NA,NA,NA,48
94,48,NA,NA,NA,50
96,50,NA,NA,NA,51
NA,51,NA,NA,NA,52
NA,52,NA,NA,NA,53
NA,53,NA,NA,NA,55
NA,54,NA,NA,NA,57
NA,55,NA,NA,NA,59
NA,57,NA,NA,NA,60
NA,59,NA,NA,NA,61
NA,60,NA,NA,NA,62
NA,61,NA,NA,NA,63
NA,62,NA,NA,NA,64
NA,63,NA,NA,NA,65
NA,64,NA,NA,NA,66
NA,65,NA,NA,NA,67
NA,66,NA,NA,NA,68
NA,67,NA,NA,NA,69
NA,68,NA,NA,NA,70
NA,69,NA,NA,NA,71
NA,70,NA,NA,NA,72
NA,71,NA,NA,NA,73
NA,72,NA,NA,NA,74
NA,73,NA,NA,NA,75
NA,74,NA,NA,NA,76
NA,75,NA,NA,NA,77
NA,76,NA,NA,NA,78
NA,77,NA,NA,NA,80
NA,78,NA,NA,NA,81
NA,79,NA,NA,NA,82
NA,80,NA,NA,NA,83
NA,81,NA,NA,NA,84
NA,82,NA,NA,NA,85
NA,83,NA,NA,NA,86
NA,84,NA,NA,NA,87
NA,85,NA,NA,NA,88
NA,86,NA,NA,NA,91
NA,87,NA,NA,NA,92
NA,88,NA,NA,NA,93
NA,89,NA,NA,NA,94
NA,91,NA,NA,NA,95
NA,92,NA,NA,NA,96
NA,93,NA,NA,NA,NA
NA,94,NA,NA,NA,NA
NA,95,NA,NA,NA,NA
NA,96,NA,NA,NA,NA
