"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
NA,1,NA,4,NA,71
NA,4,NA,68,NA,NA
NA,10,NA,NA,NA,NA
NA,11,NA,NA,NA,NA
NA,12,NA,NA,NA,NA
NA,13,NA,NA,NA,NA
NA,17,NA,NA,NA,NA
NA,23,NA,NA,NA,NA
NA,25,NA,NA,NA,NA
NA,29,NA,NA,NA,NA
NA,40,NA,NA,NA,NA
NA,42,NA,NA,NA,NA
NA,43,NA,NA,NA,NA
NA,45,NA,NA,NA,NA
NA,46,NA,NA,NA,NA
NA,47,NA,NA,NA,NA
NA,49,NA,NA,NA,NA
NA,58,NA,NA,NA,NA
NA,59,NA,NA,NA,NA
NA,66,NA,NA,NA,NA
NA,71,NA,NA,NA,NA
NA,79,NA,NA,NA,NA
NA,84,NA,NA,NA,NA
NA,86,NA,NA,NA,NA
NA,87,NA,NA,NA,NA
NA,96,NA,NA,NA,NA
