"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
NA,2,NA,1,NA,2
NA,4,NA,6,NA,4
NA,7,NA,24,NA,7
NA,10,NA,29,NA,10
NA,12,NA,33,NA,12
NA,15,NA,35,NA,17
NA,17,NA,36,NA,19
NA,19,NA,44,NA,23
NA,20,NA,46,NA,25
NA,22,NA,59,NA,31
NA,23,NA,64,NA,33
NA,24,NA,70,NA,36
NA,25,NA,96,NA,37
NA,29,NA,NA,NA,41
NA,31,NA,NA,NA,43
NA,33,NA,NA,NA,49
NA,36,NA,NA,NA,54
NA,37,NA,NA,NA,55
NA,41,NA,NA,NA,56
NA,43,NA,NA,NA,57
NA,45,NA,NA,NA,61
NA,49,NA,NA,NA,71
NA,53,NA,NA,NA,72
NA,54,NA,NA,NA,74
NA,55,NA,NA,NA,80
NA,56,NA,NA,NA,90
NA,57,NA,NA,NA,93
NA,61,NA,NA,NA,NA
NA,68,NA,NA,NA,NA
NA,69,NA,NA,NA,NA
NA,71,NA,NA,NA,NA
NA,72,NA,NA,NA,NA
NA,73,NA,NA,NA,NA
NA,74,NA,NA,NA,NA
NA,79,NA,NA,NA,NA
NA,80,NA,NA,NA,NA
NA,90,NA,NA,NA,NA
NA,93,NA,NA,NA,NA
