metapopulation size: 3000
subpopulation size: 30
sexual reproduction produces 10 offspring
parthenogenetic reproduction produces 10 offspring
penalty for parthenogenetic-capable females reproducing sexually: 0
migration rate: 0
mutation rate: 0.00016666666666666666
recombination rate, interval 1: 0.5
recombination rate, interval 2: 0.5
each individual in the main population encounters 2 individuals
each individual in the subpopulation encounters 1 individuals
fitness overdominance (0=no, 1=yes): 1
maximum value of parthenogenetic allele that appeared: 0.49985689353337454
random seed: 355
generation     mean_Loc2           mean_Loc3           mean_Loc1           f_prod_sexually     sexual_offspring    f_prod_parth        parth_offspring     
73             0.00196             0.00018             0.50000             1088.00000          10880.00000         379.00000           20.00000            
74             0.00176             0.00000             0.50000             1123.00000          11230.00000         364.00000           10.00000            
75             0.00174             0.00030             0.50000             1149.00000          11490.00000         386.00000           0.00000             
76             0.00285             0.00021             0.50000             1121.00000          11210.00000         403.00000           0.00000             
77             0.00357             0.00016             0.50000             1132.00000          11320.00000         349.00000           10.00000            
78             0.00467             0.00034             0.50000             1134.00000          11340.00000         402.00000           10.00000            
79             0.00520             0.00034             0.50000             1128.00000          11280.00000         387.00000           50.00000            
80             0.00700             0.00078             0.50000             1122.00000          11220.00000         370.00000           10.00000            
81             0.00783             0.00129             0.50000             1135.00000          11350.00000         382.00000           40.00000            
82             0.00445             0.00261             0.50000             1126.00000          11260.00000         384.00000           70.00000            
83             0.00460             0.00251             0.50000             1121.00000          11210.00000         371.00000           40.00000            
84             0.00478             0.00184             0.50000             1113.00000          11130.00000         401.00000           10.00000            
85             0.00396             0.00148             0.50000             1111.00000          11110.00000         323.00000           20.00000            
86             0.00489             0.00065             0.50000             1147.00000          11470.00000         316.00000           10.00000            
87             0.00574             0.00112             0.50000             1127.00000          11270.00000         376.00000           20.00000            
88             0.00630             0.00224             0.50000             1107.00000          11070.00000         409.00000           10.00000            
89             0.00704             0.00118             0.50000             1128.00000          11280.00000         407.00000           30.00000            
90             0.00860             0.00124             0.50000             1097.00000          10970.00000         415.00000           30.00000            
91             0.00904             0.00143             0.50000             1148.00000          11480.00000         357.00000           50.00000            
92             0.00999             0.00110             0.50000             1156.00000          11560.00000         382.00000           20.00000            
93             0.00981             0.00139             0.50000             1131.00000          11310.00000         321.00000           40.00000            
94             0.01254             0.00186             0.50000             1114.00000          11140.00000         396.00000           40.00000            
95             0.01009             0.00088             0.50000             1145.00000          11450.00000         372.00000           20.00000            
96             0.01047             0.00080             0.50000             1127.00000          11270.00000         346.00000           10.00000            
97             0.01231             0.00032             0.50000             1132.00000          11320.00000         395.00000           50.00000            
98             0.01559             0.00021             0.50000             1125.00000          11250.00000         382.00000           50.00000            
99             0.01558             0.00025             0.50000             1117.00000          11170.00000         375.00000           60.00000            
100            0.01324             0.00062             0.50000             1139.00000          11390.00000         367.00000           70.00000            
101            0.01250             0.00069             0.50000             1135.00000          11350.00000         349.00000           50.00000            
102            0.01185             0.00064             0.50000             1107.00000          11070.00000         428.00000           20.00000            
103            0.01236             0.00075             0.50000             1118.00000          11180.00000         370.00000           50.00000            
104            0.01360             0.00091             0.50000             1134.00000          11340.00000         409.00000           20.00000            
105            0.01322             0.00196             0.50000             1127.00000          11270.00000         379.00000           20.00000            
106            0.01162             0.00127             0.50000             1138.00000          11380.00000         380.00000           30.00000            
107            0.01362             0.00227             0.50000             1123.00000          11230.00000         344.00000           40.00000            
108            0.01453             0.00247             0.50000             1118.00000          11180.00000         329.00000           80.00000            
109            0.01661             0.00249             0.50000             1124.00000          11240.00000         330.00000           30.00000            
110            0.02231             0.00177             0.50000             1146.00000          11460.00000         335.00000           20.00000            
111            0.02579             0.00123             0.50000             1151.00000          11510.00000         370.00000           60.00000            
112            0.02452             0.00084             0.50000             1134.00000          11340.00000         379.00000           160.00000           
113            0.02133             0.00120             0.50000             1148.00000          11480.00000         329.00000           80.00000            
114            0.02233             0.00113             0.50000             1161.00000          11610.00000         311.00000           70.00000            
115            0.01911             0.00122             0.50000             1117.00000          11170.00000         374.00000           70.00000            
116            0.01824             0.00144             0.50000             1145.00000          11450.00000         359.00000           70.00000            
117            0.02058             0.00197             0.50000             1103.00000          11030.00000         405.00000           70.00000            
118            0.01929             0.00152             0.50000             1170.00000          11700.00000         375.00000           100.00000           
119            0.02314             0.00216             0.50000             1110.00000          11100.00000         365.00000           90.00000            
120            0.02136             0.00298             0.50000             1114.00000          11140.00000         387.00000           120.00000           
