metapopulation size: 3000
subpopulation size: 30
sexual reproduction produces 10 offspring
parthenogenetic reproduction produces 10 offspring
penalty for parthenogenetic-capable females reproducing sexually: 0
migration rate: 0
mutation rate: 0.00016666666666666666
recombination rate, interval 1: 0.5
recombination rate, interval 2: 0.5
each individual in the main population encounters 2 individuals
each individual in the subpopulation encounters 1 individuals
fitness overdominance (0=no, 1=yes): 1
maximum value of parthenogenetic allele that appeared: 0.49985689353337454
random seed: 355
generation     mean_Loc2           mean_Loc3           mean_Loc1           f_prod_sexually     sexual_offspring    f_prod_parth        parth_offspring     
314            0.00534             0.00175             0.50000             1149.00000          11490.00000         315.00000           10.00000            
315            0.00387             0.00128             0.50000             1143.00000          11430.00000         360.00000           10.00000            
316            0.00490             0.00128             0.50000             1125.00000          11250.00000         316.00000           10.00000            
317            0.00667             0.00124             0.50000             1141.00000          11410.00000         376.00000           10.00000            
318            0.00814             0.00137             0.50000             1112.00000          11120.00000         442.00000           20.00000            
319            0.00768             0.00201             0.50000             1112.00000          11120.00000         380.00000           50.00000            
320            0.00795             0.00125             0.50000             1106.00000          11060.00000         374.00000           0.00000             
321            0.00732             0.00030             0.50000             1086.00000          10860.00000         411.00000           20.00000            
322            0.00667             0.00008             0.50000             1115.00000          11150.00000         363.00000           20.00000            
323            0.00520             0.00013             0.50000             1127.00000          11270.00000         371.00000           10.00000            
324            0.00445             0.00007             0.50000             1144.00000          11440.00000         369.00000           0.00000             
325            0.00491             0.00007             0.50000             1099.00000          10990.00000         404.00000           20.00000            
326            0.00460             0.00017             0.50000             1129.00000          11290.00000         408.00000           30.00000            
327            0.00526             0.00003             0.50000             1136.00000          11360.00000         337.00000           10.00000            
328            0.00574             0.00042             0.50000             1143.00000          11430.00000         343.00000           0.00000             
329            0.00689             0.00012             0.50000             1135.00000          11350.00000         383.00000           10.00000            
330            0.00686             0.00041             0.50000             1120.00000          11200.00000         373.00000           30.00000            
331            0.00869             0.00067             0.50000             1149.00000          11490.00000         344.00000           10.00000            
332            0.00694             0.00070             0.50000             1131.00000          11310.00000         370.00000           70.00000            
333            0.00548             0.00029             0.50000             1125.00000          11250.00000         392.00000           30.00000            
334            0.00545             0.00031             0.50000             1125.00000          11250.00000         387.00000           30.00000            
335            0.00531             0.00021             0.50000             1104.00000          11040.00000         370.00000           30.00000            
336            0.00571             0.00021             0.50000             1114.00000          11140.00000         397.00000           0.00000             
337            0.00521             0.00021             0.50000             1184.00000          11840.00000         358.00000           10.00000            
338            0.00620             0.00021             0.50000             1118.00000          11180.00000         397.00000           10.00000            
339            0.00553             0.00010             0.50000             1123.00000          11230.00000         351.00000           30.00000            
340            0.00441             0.00044             0.50000             1136.00000          11360.00000         370.00000           50.00000            
341            0.00430             0.00013             0.50000             1099.00000          10990.00000         402.00000           20.00000            
342            0.00615             0.00013             0.50000             1132.00000          11320.00000         378.00000           20.00000            
343            0.00571             0.00027             0.50000             1122.00000          11220.00000         334.00000           0.00000             
344            0.00755             0.00053             0.50000             1103.00000          11030.00000         375.00000           0.00000             
345            0.00822             0.00067             0.50000             1135.00000          11350.00000         341.00000           40.00000            
346            0.00710             0.00120             0.50000             1152.00000          11520.00000         359.00000           0.00000             
347            0.00920             0.00253             0.50000             1100.00000          11000.00000         400.00000           10.00000            
348            0.00946             0.00226             0.50000             1149.00000          11490.00000         340.00000           50.00000            
349            0.01043             0.00186             0.50000             1129.00000          11290.00000         384.00000           50.00000            
350            0.01135             0.00147             0.50000             1120.00000          11200.00000         343.00000           90.00000            
351            0.01102             0.00106             0.50000             1166.00000          11660.00000         331.00000           70.00000            
352            0.01259             0.00106             0.50000             1135.00000          11350.00000         367.00000           30.00000            
353            0.01630             0.00173             0.50000             1110.00000          11100.00000         372.00000           50.00000            
354            0.01687             0.00240             0.50000             1142.00000          11420.00000         381.00000           30.00000            
355            0.01966             0.00240             0.50000             1088.00000          10880.00000         402.00000           50.00000            
356            0.01767             0.00333             0.50000             1107.00000          11070.00000         388.00000           30.00000            
357            0.01527             0.00280             0.50000             1124.00000          11240.00000         336.00000           50.00000            
358            0.01991             0.00226             0.50000             1123.00000          11230.00000         366.00000           40.00000            
359            0.01598             0.00200             0.50000             1117.00000          11170.00000         365.00000           60.00000            
360            0.02052             0.00303             0.50000             1136.00000          11360.00000         346.00000           50.00000            
361            0.01661             0.00382             0.50000             1140.00000          11400.00000         403.00000           80.00000            
362            0.01833             0.00255             0.50000             1120.00000          11200.00000         314.00000           20.00000            
363            0.01592             0.00475             0.50000             1098.00000          10980.00000         332.00000           90.00000            
364            0.01382             0.00487             0.50000             1094.00000          10940.00000         380.00000           90.00000            
365            0.01074             0.00439             0.50000             1108.00000          11080.00000         414.00000           50.00000            
366            0.01173             0.00399             0.50000             1101.00000          11010.00000         368.00000           40.00000            
367            0.01465             0.00439             0.50000             1128.00000          11280.00000         372.00000           30.00000            
368            0.01490             0.00566             0.50000             1123.00000          11230.00000         352.00000           110.00000           
369            0.01680             0.00407             0.50000             1112.00000          11120.00000         377.00000           90.00000            
370            0.01762             0.00338             0.50000             1132.00000          11320.00000         392.00000           60.00000            
371            0.01829             0.00328             0.50000             1132.00000          11320.00000         377.00000           60.00000            
372            0.02108             0.00268             0.50000             1123.00000          11230.00000         387.00000           100.00000           
373            0.02555             0.00289             0.50000             1141.00000          11410.00000         383.00000           60.00000            
374            0.02009             0.00196             0.50000             1161.00000          11610.00000         388.00000           150.00000           
375            0.01992             0.00152             0.50000             1112.00000          11120.00000         340.00000           60.00000            
376            0.02168             0.00114             0.50000             1120.00000          11200.00000         327.00000           90.00000            
377            0.02222             0.00094             0.50000             1104.00000          11040.00000         405.00000           70.00000            
378            0.02192             0.00176             0.50000             1143.00000          11430.00000         342.00000           120.00000           
379            0.01991             0.00117             0.50000             1100.00000          11000.00000         373.00000           70.00000            
380            0.02231             0.00266             0.50000             1118.00000          11180.00000         425.00000           100.00000           
381            0.02018             0.00278             0.50000             1131.00000          11310.00000         386.00000           90.00000            
382            0.02247             0.00332             0.50000             1125.00000          11250.00000         387.00000           60.00000            
383            0.01970             0.00361             0.50000             1096.00000          10960.00000         389.00000           120.00000           
384            0.02220             0.00578             0.50000             1122.00000          11220.00000         367.00000           50.00000            
385            0.02069             0.00491             0.50000             1154.00000          11540.00000         359.00000           100.00000           
386            0.02114             0.00465             0.50000             1143.00000          11430.00000         349.00000           80.00000            
387            0.02086             0.00615             0.50000             1129.00000          11290.00000         374.00000           30.00000            
388            0.02147             0.00611             0.50000             1132.00000          11320.00000         358.00000           60.00000            
389            0.02192             0.00662             0.50000             1120.00000          11200.00000         390.00000           140.00000           
390            0.01802             0.00782             0.50000             1140.00000          11400.00000         374.00000           120.00000           
391            0.01702             0.00701             0.50000             1155.00000          11550.00000         343.00000           50.00000            
392            0.01276             0.00668             0.50000             1128.00000          11280.00000         368.00000           60.00000            
393            0.01050             0.00568             0.50000             1102.00000          11020.00000         353.00000           60.00000            
394            0.01056             0.00608             0.50000             1147.00000          11470.00000         336.00000           20.00000            
395            0.00994             0.00569             0.50000             1123.00000          11230.00000         347.00000           20.00000            
396            0.01255             0.00521             0.50000             1137.00000          11370.00000         365.00000           10.00000            
397            0.01644             0.00581             0.50000             1119.00000          11190.00000         402.00000           30.00000            
398            0.01648             0.00601             0.50000             1117.00000          11170.00000         392.00000           20.00000            
399            0.01898             0.00847             0.50000             1105.00000          11050.00000         415.00000           40.00000            
400            0.02054             0.00708             0.50000             1121.00000          11210.00000         373.00000           70.00000            
401            0.02194             0.00744             0.50000             1117.00000          11170.00000         369.00000           70.00000            
402            0.02389             0.00670             0.50000             1149.00000          11490.00000         376.00000           70.00000            
403            0.02589             0.00596             0.50000             1126.00000          11260.00000         340.00000           20.00000            
404            0.02621             0.00534             0.50000             1077.00000          10770.00000         385.00000           100.00000           
405            0.02765             0.00464             0.50000             1111.00000          11110.00000         381.00000           110.00000           
406            0.02901             0.00399             0.50000             1107.00000          11070.00000         415.00000           80.00000            
407            0.02424             0.00445             0.50000             1147.00000          11470.00000         361.00000           100.00000           
408            0.02360             0.00483             0.50000             1097.00000          10970.00000         401.00000           120.00000           
409            0.02455             0.00514             0.50000             1149.00000          11490.00000         327.00000           90.00000            
410            0.02281             0.00427             0.50000             1136.00000          11360.00000         415.00000           120.00000           
411            0.02541             0.00522             0.50000             1140.00000          11400.00000         396.00000           140.00000           
412            0.02518             0.00448             0.50000             1160.00000          11600.00000         364.00000           120.00000           
413            0.02088             0.00537             0.50000             1147.00000          11470.00000         368.00000           100.00000           
414            0.01932             0.00533             0.50000             1126.00000          11260.00000         416.00000           90.00000            
415            0.02591             0.00482             0.50000             1125.00000          11250.00000         406.00000           20.00000            
416            0.02579             0.00660             0.50000             1093.00000          10930.00000         377.00000           110.00000           
417            0.02621             0.00780             0.50000             1139.00000          11390.00000         343.00000           80.00000            
418            0.02368             0.00727             0.50000             1099.00000          10990.00000         371.00000           60.00000            
419            0.02647             0.00900             0.50000             1107.00000          11070.00000         372.00000           50.00000            
420            0.02973             0.00913             0.50000             1145.00000          11450.00000         389.00000           110.00000           
421            0.03012             0.00949             0.50000             1131.00000          11310.00000         349.00000           90.00000            
422            0.03007             0.00960             0.50000             1106.00000          11060.00000         400.00000           120.00000           
423            0.03089             0.01118             0.50000             1109.00000          11090.00000         423.00000           70.00000            
424            0.03453             0.01083             0.50000             1121.00000          11210.00000         377.00000           150.00000           
425            0.03879             0.01227             0.50000             1108.00000          11080.00000         398.00000           130.00000           
426            0.03310             0.01004             0.50000             1134.00000          11340.00000         315.00000           150.00000           
427            0.03193             0.01065             0.50000             1131.00000          11310.00000         401.00000           130.00000           
428            0.02775             0.00960             0.50000             1118.00000          11180.00000         395.00000           170.00000           
429            0.02848             0.00895             0.50000             1124.00000          11240.00000         396.00000           70.00000            
430            0.02641             0.00936             0.50000             1111.00000          11110.00000         396.00000           50.00000            
431            0.02340             0.00920             0.50000             1108.00000          11080.00000         307.00000           90.00000            
432            0.02055             0.00966             0.50000             1109.00000          11090.00000         393.00000           80.00000            
433            0.02131             0.00793             0.50000             1133.00000          11330.00000         367.00000           90.00000            
434            0.02244             0.00777             0.50000             1153.00000          11530.00000         366.00000           70.00000            
435            0.02550             0.00683             0.50000             1119.00000          11190.00000         386.00000           110.00000           
436            0.02558             0.00633             0.50000             1134.00000          11340.00000         352.00000           140.00000           
437            0.02493             0.00469             0.50000             1110.00000          11100.00000         407.00000           60.00000            
438            0.02405             0.00620             0.50000             1115.00000          11150.00000         374.00000           90.00000            
439            0.02235             0.00539             0.50000             1127.00000          11270.00000         376.00000           120.00000           
440            0.02136             0.00630             0.50000             1128.00000          11280.00000         361.00000           70.00000            
441            0.02064             0.00720             0.50000             1146.00000          11460.00000         373.00000           100.00000           
442            0.02051             0.00666             0.50000             1112.00000          11120.00000         358.00000           100.00000           
443            0.01906             0.00826             0.50000             1112.00000          11120.00000         416.00000           110.00000           
444            0.01771             0.00632             0.50000             1151.00000          11510.00000         309.00000           40.00000            
445            0.01829             0.00666             0.50000             1132.00000          11320.00000         355.00000           30.00000            
446            0.01737             0.00711             0.50000             1135.00000          11350.00000         353.00000           40.00000            
447            0.01700             0.00776             0.50000             1107.00000          11070.00000         367.00000           40.00000            
448            0.01663             0.00692             0.50000             1123.00000          11230.00000         369.00000           40.00000            
449            0.01422             0.00604             0.50000             1125.00000          11250.00000         344.00000           50.00000            
450            0.01380             0.00539             0.50000             1158.00000          11580.00000         327.00000           60.00000            
451            0.01422             0.00470             0.50000             1110.00000          11100.00000         352.00000           30.00000            
452            0.01157             0.00540             0.50000             1140.00000          11400.00000         414.00000           30.00000            
453            0.00880             0.00534             0.50000             1131.00000          11310.00000         383.00000           60.00000            
454            0.00969             0.00517             0.50000             1135.00000          11350.00000         371.00000           40.00000            
455            0.00856             0.00572             0.50000             1122.00000          11220.00000         389.00000           50.00000            
456            0.00612             0.00666             0.50000             1117.00000          11170.00000         319.00000           0.00000             
457            0.00729             0.00778             0.50000             1081.00000          10810.00000         385.00000           40.00000            
458            0.00649             0.00741             0.50000             1136.00000          11360.00000         396.00000           20.00000            
459            0.00740             0.00743             0.50000             1097.00000          10970.00000         384.00000           50.00000            
460            0.00776             0.00688             0.50000             1161.00000          11610.00000         346.00000           40.00000            
461            0.00698             0.01175             0.50000             1105.00000          11050.00000         378.00000           10.00000            
462            0.00809             0.01304             0.50000             1110.00000          11100.00000         399.00000           10.00000            
463            0.00771             0.01298             0.50000             1115.00000          11150.00000         356.00000           50.00000            
464            0.00637             0.01387             0.50000             1129.00000          11290.00000         350.00000           0.00000             
465            0.00655             0.01265             0.50000             1125.00000          11250.00000         381.00000           20.00000            
466            0.00654             0.01235             0.50000             1136.00000          11360.00000         391.00000           20.00000            
467            0.00581             0.01129             0.50000             1134.00000          11340.00000         353.00000           30.00000            
468            0.00768             0.00994             0.50000             1115.00000          11150.00000         399.00000           0.00000             
469            0.00792             0.00771             0.50000             1134.00000          11340.00000         342.00000           0.00000             
470            0.00910             0.00605             0.50000             1143.00000          11430.00000         411.00000           40.00000            
471            0.00927             0.00527             0.50000             1131.00000          11310.00000         370.00000           20.00000            
472            0.00891             0.00642             0.50000             1098.00000          10980.00000         376.00000           50.00000            
473            0.00946             0.00753             0.50000             1136.00000          11360.00000         394.00000           40.00000            
474            0.00969             0.00946             0.50000             1129.00000          11290.00000         346.00000           10.00000            
475            0.00981             0.00962             0.50000             1145.00000          11450.00000         372.00000           30.00000            
476            0.01024             0.00582             0.50000             1137.00000          11370.00000         398.00000           40.00000            
477            0.00967             0.00424             0.50000             1123.00000          11230.00000         367.00000           60.00000            
478            0.00960             0.00241             0.50000             1094.00000          10940.00000         376.00000           40.00000            
479            0.00908             0.00218             0.50000             1146.00000          11460.00000         358.00000           40.00000            
480            0.00898             0.00248             0.50000             1144.00000          11440.00000         345.00000           40.00000            
481            0.01064             0.00361             0.50000             1103.00000          11030.00000         396.00000           50.00000            
482            0.01121             0.00288             0.50000             1088.00000          10880.00000         373.00000           40.00000            
483            0.01183             0.00286             0.50000             1135.00000          11350.00000         349.00000           30.00000            
484            0.01031             0.00395             0.50000             1123.00000          11230.00000         368.00000           60.00000            
485            0.01032             0.00340             0.50000             1120.00000          11200.00000         318.00000           20.00000            
486            0.01054             0.00291             0.50000             1104.00000          11040.00000         372.00000           20.00000            
487            0.01193             0.00373             0.50000             1141.00000          11410.00000         340.00000           40.00000            
488            0.01225             0.00617             0.50000             1146.00000          11460.00000         356.00000           60.00000            
489            0.01297             0.00482             0.50000             1120.00000          11200.00000         428.00000           40.00000            
490            0.01208             0.00497             0.50000             1129.00000          11290.00000         364.00000           90.00000            
491            0.00897             0.00451             0.50000             1108.00000          11080.00000         407.00000           40.00000            
492            0.00604             0.00374             0.50000             1126.00000          11260.00000         380.00000           70.00000            
493            0.00496             0.00546             0.50000             1119.00000          11190.00000         374.00000           0.00000             
494            0.00457             0.00457             0.50000             1119.00000          11190.00000         399.00000           40.00000            
495            0.00447             0.00448             0.50000             1122.00000          11220.00000         406.00000           30.00000            
496            0.00396             0.00252             0.50000             1119.00000          11190.00000         376.00000           10.00000            
497            0.00425             0.00291             0.50000             1118.00000          11180.00000         378.00000           30.00000            
498            0.00318             0.00179             0.50000             1139.00000          11390.00000         368.00000           20.00000            
499            0.00311             0.00211             0.50000             1147.00000          11470.00000         344.00000           20.00000            
500            0.00247             0.00166             0.50000             1135.00000          11350.00000         368.00000           10.00000            
