"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
NA,3,NA,77,NA,NA
NA,4,NA,82,NA,NA
NA,5,NA,NA,NA,NA
NA,12,NA,NA,NA,NA
NA,13,NA,NA,NA,NA
NA,14,NA,NA,NA,NA
NA,18,NA,NA,NA,NA
NA,19,NA,NA,NA,NA
NA,20,NA,NA,NA,NA
NA,24,NA,NA,NA,NA
NA,25,NA,NA,NA,NA
NA,27,NA,NA,NA,NA
NA,32,NA,NA,NA,NA
NA,34,NA,NA,NA,NA
NA,35,NA,NA,NA,NA
NA,36,NA,NA,NA,NA
NA,37,NA,NA,NA,NA
NA,41,NA,NA,NA,NA
NA,46,NA,NA,NA,NA
NA,48,NA,NA,NA,NA
NA,49,NA,NA,NA,NA
NA,51,NA,NA,NA,NA
NA,52,NA,NA,NA,NA
NA,54,NA,NA,NA,NA
NA,56,NA,NA,NA,NA
NA,57,NA,NA,NA,NA
NA,59,NA,NA,NA,NA
NA,60,NA,NA,NA,NA
NA,61,NA,NA,NA,NA
NA,64,NA,NA,NA,NA
NA,66,NA,NA,NA,NA
NA,68,NA,NA,NA,NA
NA,72,NA,NA,NA,NA
NA,73,NA,NA,NA,NA
NA,76,NA,NA,NA,NA
NA,81,NA,NA,NA,NA
NA,84,NA,NA,NA,NA
NA,88,NA,NA,NA,NA
NA,90,NA,NA,NA,NA
NA,91,NA,NA,NA,NA
NA,96,NA,NA,NA,NA
