"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
3,2,NA,20,1,2
5,3,NA,NA,26,3
11,4,NA,NA,38,5
14,5,NA,NA,41,6
15,6,NA,NA,50,7
17,7,NA,NA,67,8
20,8,NA,NA,68,9
23,9,NA,NA,73,10
27,10,NA,NA,74,11
28,11,NA,NA,NA,12
30,12,NA,NA,NA,13
32,13,NA,NA,NA,14
35,14,NA,NA,NA,15
39,15,NA,NA,NA,16
40,16,NA,NA,NA,17
44,17,NA,NA,NA,18
45,18,NA,NA,NA,19
47,19,NA,NA,NA,20
48,20,NA,NA,NA,21
55,21,NA,NA,NA,22
60,22,NA,NA,NA,23
62,23,NA,NA,NA,24
64,24,NA,NA,NA,25
65,25,NA,NA,NA,27
77,27,NA,NA,NA,28
78,28,NA,NA,NA,29
80,29,NA,NA,NA,30
82,30,NA,NA,NA,31
89,31,NA,NA,NA,32
90,32,NA,NA,NA,33
95,33,NA,NA,NA,34
96,34,NA,NA,NA,35
NA,35,NA,NA,NA,36
NA,36,NA,NA,NA,37
NA,37,NA,NA,NA,39
NA,39,NA,NA,NA,40
NA,40,NA,NA,NA,42
NA,42,NA,NA,NA,43
NA,43,NA,NA,NA,44
NA,44,NA,NA,NA,46
NA,45,NA,NA,NA,47
NA,46,NA,NA,NA,48
NA,47,NA,NA,NA,49
NA,48,NA,NA,NA,51
NA,49,NA,NA,NA,52
NA,51,NA,NA,NA,53
NA,52,NA,NA,NA,54
NA,53,NA,NA,NA,55
NA,54,NA,NA,NA,57
NA,55,NA,NA,NA,58
NA,56,NA,NA,NA,59
NA,57,NA,NA,NA,60
NA,58,NA,NA,NA,61
NA,59,NA,NA,NA,62
NA,60,NA,NA,NA,63
NA,61,NA,NA,NA,64
NA,62,NA,NA,NA,65
NA,63,NA,NA,NA,66
NA,64,NA,NA,NA,70
NA,65,NA,NA,NA,71
NA,66,NA,NA,NA,72
NA,69,NA,NA,NA,75
NA,70,NA,NA,NA,76
NA,71,NA,NA,NA,77
NA,72,NA,NA,NA,78
NA,75,NA,NA,NA,79
NA,76,NA,NA,NA,80
NA,77,NA,NA,NA,81
NA,78,NA,NA,NA,82
NA,79,NA,NA,NA,83
NA,80,NA,NA,NA,84
NA,81,NA,NA,NA,85
NA,82,NA,NA,NA,86
NA,83,NA,NA,NA,87
NA,84,NA,NA,NA,88
NA,85,NA,NA,NA,89
NA,86,NA,NA,NA,90
NA,87,NA,NA,NA,91
NA,88,NA,NA,NA,92
NA,89,NA,NA,NA,93
NA,90,NA,NA,NA,94
NA,91,NA,NA,NA,95
NA,92,NA,NA,NA,96
NA,93,NA,NA,NA,NA
NA,94,NA,NA,NA,NA
NA,95,NA,NA,NA,NA
NA,96,NA,NA,NA,NA
