"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
NA,12,NA,3,NA,12
NA,16,NA,13,NA,16
NA,17,NA,15,NA,17
NA,19,NA,28,NA,19
NA,20,NA,47,NA,20
NA,22,NA,51,NA,22
NA,23,NA,71,NA,23
NA,24,NA,76,NA,24
NA,28,NA,79,NA,28
NA,38,NA,80,NA,38
NA,39,NA,84,NA,39
NA,40,NA,87,NA,40
NA,41,NA,NA,NA,41
NA,42,NA,NA,NA,42
NA,45,NA,NA,NA,49
NA,49,NA,NA,NA,50
NA,50,NA,NA,NA,52
NA,52,NA,NA,NA,54
NA,54,NA,NA,NA,56
NA,56,NA,NA,NA,57
NA,57,NA,NA,NA,58
NA,58,NA,NA,NA,59
NA,59,NA,NA,NA,64
NA,64,NA,NA,NA,65
NA,65,NA,NA,NA,69
NA,69,NA,NA,NA,72
NA,72,NA,NA,NA,74
NA,74,NA,NA,NA,75
NA,75,NA,NA,NA,78
NA,78,NA,NA,NA,81
NA,80,NA,NA,NA,83
NA,81,NA,NA,NA,85
NA,83,NA,NA,NA,86
NA,85,NA,NA,NA,87
NA,86,NA,NA,NA,88
NA,87,NA,NA,NA,94
NA,88,NA,NA,NA,NA
NA,94,NA,NA,NA,NA
