"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
NA,3,NA,10,NA,3
NA,4,NA,13,NA,4
NA,7,NA,23,NA,7
NA,10,NA,29,NA,9
NA,11,NA,30,NA,10
NA,12,NA,37,NA,11
NA,13,NA,45,NA,12
NA,14,NA,52,NA,13
NA,15,NA,54,NA,14
NA,16,NA,61,NA,17
NA,17,NA,63,NA,28
NA,18,NA,71,NA,29
NA,28,NA,77,NA,30
NA,29,NA,79,NA,33
NA,30,NA,88,NA,38
NA,33,NA,NA,NA,40
NA,38,NA,NA,NA,41
NA,40,NA,NA,NA,42
NA,41,NA,NA,NA,45
NA,42,NA,NA,NA,46
NA,45,NA,NA,NA,49
NA,46,NA,NA,NA,53
NA,47,NA,NA,NA,55
NA,49,NA,NA,NA,57
NA,53,NA,NA,NA,59
NA,54,NA,NA,NA,61
NA,55,NA,NA,NA,64
NA,57,NA,NA,NA,65
NA,59,NA,NA,NA,71
NA,61,NA,NA,NA,73
NA,63,NA,NA,NA,82
NA,64,NA,NA,NA,84
NA,65,NA,NA,NA,85
NA,69,NA,NA,NA,88
NA,71,NA,NA,NA,90
NA,72,NA,NA,NA,NA
NA,73,NA,NA,NA,NA
NA,74,NA,NA,NA,NA
NA,77,NA,NA,NA,NA
NA,82,NA,NA,NA,NA
NA,83,NA,NA,NA,NA
NA,85,NA,NA,NA,NA
NA,88,NA,NA,NA,NA
NA,90,NA,NA,NA,NA
NA,92,NA,NA,NA,NA
NA,95,NA,NA,NA,NA
NA,96,NA,NA,NA,NA
