"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
NA,1,17,17,NA,NA
NA,4,NA,44,NA,NA
NA,5,NA,NA,NA,NA
NA,8,NA,NA,NA,NA
NA,9,NA,NA,NA,NA
NA,11,NA,NA,NA,NA
NA,19,NA,NA,NA,NA
NA,20,NA,NA,NA,NA
NA,22,NA,NA,NA,NA
NA,24,NA,NA,NA,NA
NA,25,NA,NA,NA,NA
NA,27,NA,NA,NA,NA
NA,28,NA,NA,NA,NA
NA,29,NA,NA,NA,NA
NA,30,NA,NA,NA,NA
NA,33,NA,NA,NA,NA
NA,35,NA,NA,NA,NA
NA,37,NA,NA,NA,NA
NA,38,NA,NA,NA,NA
NA,44,NA,NA,NA,NA
NA,45,NA,NA,NA,NA
NA,46,NA,NA,NA,NA
NA,48,NA,NA,NA,NA
NA,50,NA,NA,NA,NA
NA,57,NA,NA,NA,NA
NA,60,NA,NA,NA,NA
NA,62,NA,NA,NA,NA
NA,65,NA,NA,NA,NA
NA,66,NA,NA,NA,NA
NA,69,NA,NA,NA,NA
NA,71,NA,NA,NA,NA
NA,72,NA,NA,NA,NA
NA,75,NA,NA,NA,NA
NA,78,NA,NA,NA,NA
NA,80,NA,NA,NA,NA
NA,83,NA,NA,NA,NA
NA,84,NA,NA,NA,NA
NA,85,NA,NA,NA,NA
NA,87,NA,NA,NA,NA
NA,89,NA,NA,NA,NA
NA,92,NA,NA,NA,NA
NA,93,NA,NA,NA,NA
NA,94,NA,NA,NA,NA
