"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
1,1,NA,8,NA,NA
3,2,NA,18,NA,NA
4,3,NA,32,NA,NA
5,4,NA,41,NA,NA
6,5,NA,56,NA,NA
8,6,NA,58,NA,NA
10,7,NA,78,NA,NA
11,8,NA,81,NA,NA
14,9,NA,NA,NA,NA
15,10,NA,NA,NA,NA
16,11,NA,NA,NA,NA
19,12,NA,NA,NA,NA
21,13,NA,NA,NA,NA
22,14,NA,NA,NA,NA
24,17,NA,NA,NA,NA
25,18,NA,NA,NA,NA
29,19,NA,NA,NA,NA
31,20,NA,NA,NA,NA
32,21,NA,NA,NA,NA
41,22,NA,NA,NA,NA
42,23,NA,NA,NA,NA
44,24,NA,NA,NA,NA
48,25,NA,NA,NA,NA
51,26,NA,NA,NA,NA
57,27,NA,NA,NA,NA
60,28,NA,NA,NA,NA
61,29,NA,NA,NA,NA
62,30,NA,NA,NA,NA
63,31,NA,NA,NA,NA
64,32,NA,NA,NA,NA
65,33,NA,NA,NA,NA
68,34,NA,NA,NA,NA
71,35,NA,NA,NA,NA
73,36,NA,NA,NA,NA
76,37,NA,NA,NA,NA
77,38,NA,NA,NA,NA
81,39,NA,NA,NA,NA
83,40,NA,NA,NA,NA
92,41,NA,NA,NA,NA
94,42,NA,NA,NA,NA
NA,43,NA,NA,NA,NA
NA,44,NA,NA,NA,NA
NA,45,NA,NA,NA,NA
NA,46,NA,NA,NA,NA
NA,47,NA,NA,NA,NA
NA,48,NA,NA,NA,NA
NA,49,NA,NA,NA,NA
NA,50,NA,NA,NA,NA
NA,51,NA,NA,NA,NA
NA,52,NA,NA,NA,NA
NA,53,NA,NA,NA,NA
NA,55,NA,NA,NA,NA
NA,56,NA,NA,NA,NA
NA,57,NA,NA,NA,NA
NA,58,NA,NA,NA,NA
NA,59,NA,NA,NA,NA
NA,60,NA,NA,NA,NA
NA,61,NA,NA,NA,NA
NA,62,NA,NA,NA,NA
NA,63,NA,NA,NA,NA
NA,64,NA,NA,NA,NA
NA,65,NA,NA,NA,NA
NA,66,NA,NA,NA,NA
NA,67,NA,NA,NA,NA
NA,68,NA,NA,NA,NA
NA,69,NA,NA,NA,NA
NA,70,NA,NA,NA,NA
NA,71,NA,NA,NA,NA
NA,72,NA,NA,NA,NA
NA,73,NA,NA,NA,NA
NA,74,NA,NA,NA,NA
NA,75,NA,NA,NA,NA
NA,76,NA,NA,NA,NA
NA,77,NA,NA,NA,NA
NA,78,NA,NA,NA,NA
NA,79,NA,NA,NA,NA
NA,80,NA,NA,NA,NA
NA,81,NA,NA,NA,NA
NA,82,NA,NA,NA,NA
NA,83,NA,NA,NA,NA
NA,84,NA,NA,NA,NA
NA,85,NA,NA,NA,NA
NA,86,NA,NA,NA,NA
NA,87,NA,NA,NA,NA
NA,89,NA,NA,NA,NA
NA,90,NA,NA,NA,NA
NA,91,NA,NA,NA,NA
NA,92,NA,NA,NA,NA
NA,93,NA,NA,NA,NA
NA,94,NA,NA,NA,NA
NA,95,NA,NA,NA,NA
NA,96,NA,NA,NA,NA
